City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,edinburgh of the seven seas,-37.0676,-12.3116,13.64,94,100,11.49,SH,1722912832
119,whitehorse,60.7161,-135.0538,26.43,26,20,5.14,CA,1722913040
120,sao felix do xingu,-6.6447,-51.995,21.87,45,5,0.71,BR,1722912852
121,igarka,67.4667,86.5833,13.17,56,100,4.72,RU,1722912707
122,macapa,0.0389,-51.0664,28.99,79,40,4.63,BR,1722912902
123,vilyuchinsk,52.9306,158.4028,19.15,86,100,2.71,RU,1722912561
124,egilsstadir,65.2653,-14.3948,6.95,93,20,1.03,IS,1722912519
125,sao mateus do sul,-25.8742,-50.3828,15.2,82,4,1.17,BR,1722913047
126,yuxi,24.355,102.5422,24.8,69,68,1.77,CN,1722913048
127,west bay,19.3667,-81.4167,30.04,79,20,3.09,KY,1722913049
128,nishinoomote,30.7333,131.0,30.31,74,20,2.57,JP,1722912780
129,okakarara,-20.5833,17.4333,11.53,33,0,1.68,,1722913051
130,port elizabeth,-33.918,25.5701,11.84,83,0,2.06,ZA,1722913052
131,huarmey,-10.0681,-78.1522,17.25,84,13,4.88,PE,1722913053
132,gambiran satu,-8.3939,114.1464,28.5,76,32,2.29,ID,1722913054
133,loreto,22.2667,-101.9667,19.92,53,4,7.55,MX,1722913055
134,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,63,40,5.0,RU,1722912590
135,weno,7.4515,151.8468,26.97,89,100,0.0,FM,1722912702
136,akureyri,65.6835,-18.0878,9.96,93,75,1.03,IS,1722912786
137,banjar,-8.19,114.9675,31.08,51,27,0.7,ID,1722913059
138,mildura,-34.2,142.15,15.04,69,52,3.76,AU,1722913060
139,olonkinbyen,70.9221,-8.7187,5.73,100,100,2.63,SJ,1722913062
140,saipan,15.1355,145.701,32.39,66,0,4.63,MP,1722913063
141,cabo san lucas,22.8909,-109.9124,30.9,60,0,5.14,MX,1722912349
142,russkaya polyana,49.417,31.9201,16.35,67,17,1.06,UA,1722913065
143,jamestown,42.097,-79.2353,22.79,97,40,3.09,US,1722913066
144,khowai,24.1,91.6333,25.06,97,100,1.15,IN,1722913067
145,n'zeto,-7.2312,12.8666,19.62,89,11,0.8,AO,1722913068
146,atafu village,-8.5421,-172.5159,26.95,80,100,3.63,TK,1722913069
147,aginskoye,51.1,114.53,23.76,39,100,2.46,RU,1722913070
148,anadyr,64.75,177.4833,9.28,57,75,6.0,RU,1722913071
149,teguise,29.0605,-13.564,21.12,68,100,5.66,ES,1722913072
150,nova xavantina,-14.6667,-52.35,20.56,41,0,0.7,BR,1722913073
151,qaqortoq,60.7167,-46.0333,8.28,89,100,1.38,GL,1722912687
152,mahina,-17.5065,-149.489,27.87,65,40,8.23,PF,1722913076
153,puerto colombia,10.9878,-74.9547,29.05,85,100,5.71,CO,1722913077
154,mirnyy,62.5353,113.9611,17.62,76,98,2.65,RU,1722913079
155,pisco,-13.7,-76.2167,15.57,88,0,2.06,PE,1722913080
156,vorgashor,67.5833,63.95,9.43,56,12,2.52,RU,1722913081
157,naracoorte,-36.9579,140.7383,14.51,64,23,7.16,AU,1722913082
158,coquimbo,-29.9533,-71.3436,11.66,73,20,3.09,CL,1722912366
159,nurmes,63.5421,29.1397,12.1,88,91,2.07,FI,1722913088
160,keflavik,64.0049,-22.5624,10.24,100,100,3.09,IS,1722913042
161,ciudad madero,22.2667,-97.8333,29.47,79,0,2.57,MX,1722912861
162,toliara,-23.35,43.6667,17.79,88,0,3.49,MG,1722913091
163,laminusa,5.5549,120.9136,28.41,75,49,3.45,PH,1722913092
164,ar rutbah,33.0381,40.2848,25.61,39,0,5.17,IQ,1722913093
165,east london,-33.0153,27.9116,12.79,49,0,2.12,ZA,1722913094
166,urambo,-5.0667,32.05,16.45,32,10,2.15,TZ,1722913095
167,nuuk,64.1835,-51.7216,8.82,87,100,3.58,GL,1722913096
168,leticia,-4.2153,-69.9406,27.03,89,20,2.06,CO,1722913097
169,tingo maria,-9.2895,-76.0088,20.92,91,61,1.29,PE,1722913098
170,iskushuban,10.2837,50.23,25.8,62,47,9.02,SO,1722913099
171,koton-karfe,8.1,6.8,23.5,87,100,2.73,NG,1722913100
172,madimba,-10.4,40.3333,18.99,87,2,2.25,TZ,1722913101
173,la libertad,-2.2333,-80.9,22.81,88,20,5.66,EC,1722913103
174,chibougamau,49.9168,-74.3659,12.79,62,0,2.57,CA,1722913104
175,nadi,-17.8,177.4167,27.0,47,20,5.66,FJ,1722912957
176,pathein,16.7833,94.7333,24.8,94,100,1.53,MM,1722913106
177,laguna de perlas,12.3429,-83.6712,26.58,88,99,3.75,NI,1722913108
178,uttar char fasson,22.2332,90.7132,27.99,81,100,3.67,BD,1722913109
179,chakradharpur,22.7,85.6333,28.99,77,100,1.99,IN,1722913110
180,holualoa,19.6228,-155.9522,23.64,95,100,2.6,US,1722913111
181,mungwi,-10.1732,31.3694,11.16,46,0,1.4,ZM,1722913112
182,pasuquin,18.3328,120.6177,29.97,79,75,4.63,PH,1722913113
183,hithadhoo,-0.6,73.0833,28.63,69,100,0.71,MV,1722913114
184,labrador city,52.9463,-66.9114,10.95,82,100,2.57,CA,1722913115
185,carbonear,47.7332,-53.2148,20.7,99,100,5.29,CA,1722913118
186,pishva,35.308,51.7267,33.58,17,85,1.66,IR,1722913120
187,merizo village,13.2658,144.6691,30.55,88,100,1.81,GU,1722913121
188,cururupu,-1.8283,-44.8683,22.83,90,41,0.67,BR,1722913122
189,gaigeturi,33.4644,126.3183,30.03,84,75,5.14,KR,1722913123
190,caleta de carquin,-11.0925,-77.6267,17.01,83,14,5.84,PE,1722913124
191,dom pedrito,-30.9828,-54.6731,18.72,98,100,3.24,BR,1722913125
192,caconda,-13.7333,15.0667,13.66,53,2,1.04,AO,1722913126
193,vorkuta,67.5,64.0,9.66,57,15,2.13,RU,1722913127
194,daru,-9.0763,143.2092,24.81,89,96,7.16,PG,1722913128
195,puerto rico,-26.796,-55.024,18.93,75,17,1.51,AR,1722912909
196,alotau,-10.3069,150.4462,25.43,83,100,2.78,PG,1722913130
